index,item_id,source,notes,location,value,inventory_date,title,series,type,date_year,medium,signatures_and_writing,condition,category,height,width,depth,size_note,dimensions,file1,file2,file3,file4,file5,url1,url2,url3,url4,url5
1,AT.P.0007,Aldo foundation,,Rack 2,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32,40,,,,,,,,,,,,,
2,AT.P.0008,Aldo foundation,,Rack 2,,05/09/2013,A-430, Black Energy Suspended Series,,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
3,AT.P.0009,Aldo foundation,,Rack 3,,05/09/2013,L-1, Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",Frame chipped,Painting,30,42,,,,,,,,,,,,,
4,AT.P.0010,Aldo foundation,,Rack 3,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,32,40,,,,,,,,,,,,,
5,AT.P.0013,Aldo foundation,,Rack 4,,05/09/2013,Black 4, Black Is Series,,,graphite and wax on cardboard,,,Painting,32,40,,,,,,,,,,,,,
6,AT.P.0014,Aldo foundation,,Rack 4,,05/09/2013,GA-500, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
7,AT.P.0019,Aldo foundation,,Rack 5,,05/09/2013,AD-00, Black Energy Suspended Series,,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,,,,,,,,,,,
8,AT.P.0020,Aldo foundation,,Rack 5,,05/09/2013,?(3), Destruction,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,32,40,,,,,,,,,,,,,
9,AT.P.0023,Aldo foundation,,Rack 6,,05/09/2013,Untitled,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30,51,,,,,,,,,,,,,
10,AT.P.0024,Aldo foundation,,Rack 6,,05/09/2013,Eclipse 2,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30,75,,,,,,,,,,,,,
11,AT.P.0026,Aldo foundation,,Rack 7,,05/09/2013,Black Energy 3, Black Energy Burns with Fire,,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30,40,,,,,,,,,,,,,
12,AT.P.0027,Aldo foundation,,Rack 7,,05/09/2013,Untitled,,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45,35,,,,,,,,,,,,,
13,AT.P.0028,Aldo foundation,,Rack 6,,05/09/2013,Untitled,,,,Duco and acrylic on masonite,"LC: ""A.Tambellini""",,Painting,45,35,,,,,,,,,,,,,
14,AT.P.0030,Aldo foundation,,Rack 7,,05/09/2013,,Destruction Series II ,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 88""",,Painting,20,30,,,,,,,,,,,,,
15,AT.P.0031,Aldo foundation,,Rack 7,,05/09/2013,Destruction, Destruction II Series,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 89""",,Painting,32,40,,,,,,,,,,,,,
16,AT.P.0035,Aldo foundation,,Rack 7,,05/09/2013,B ? , Suspended,,,acrylic and graphite on architectural paper,"LR: ""Aldo Tambellini '89""",Frame damage,Painting,30,42,,,,,,,,,,,,,
17,AT.P.0037,Aldo foundation,,Rack 7,,05/09/2013,BS-1, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.37.jpg
size:1632,1224
JPEG:AT.P.37_8.jpg",,,,,,,,,
18,AT.P.0039,Aldo foundation,,Rack 7,,05/09/2013,Silent Series I,Silent Series,,,Duco and graphite on paper,"Verso: UL: ""June 1964"" UC: Silence I Top"" / UR: ""Top Aldo Tambellini 414 West Broadway, NYC"" LR: ""Aldo Tambellini There is a need for more people like you""",,Painting,29,32,,,,"remote:AT.P.39.jpg
size:1632,1224
JPEG:AT.P.39_8.jpg",,,,,,,,,
19,AT.P.0040,Aldo foundation,,Rack 7,,05/09/2013,Silent Series II,Silent Series,,ca. 1964,Duco on paper on Masonite,"Verso: UC: ""Aldo Tambellini / 1009 - 1010""",,Painting,29,32,,,,"remote:AT.P.40.jpg
size:1632,1224
JPEG:AT.P.40_8.jpg",,,,,,,,,
20,AT.P.0041,Aldo foundation,,Rack 7,,05/09/2013,Silent Series III,Silent Series,,ca. 1964,Duco on paper on Masonite,,,Painting,29,32,,,,"remote:AT.P.41.jpg
size:1632,1224
JPEG:AT.P.41_8.jpg",,,,,,,,,
21,AT.P.0043,Aldo foundation,,Rack 7,,05/09/2013,BS-2, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,26,,,,,"remote:IMG_3402.JPG
size:320,240
JPEG:IMG_3402_8.jpg",,,,,,,,,
22,AT.P.0042,Aldo foundation,,Rack 7,,05/09/2013,BS-4, Black Space Series,,ca. 1961-62,"Duco, acrylic, and sand on paper",,,Painting,26,,,,,"remote:AT.P.43.jpg
size:1632,1224
JPEG:AT.P.43_8.jpg",,,,,,,,,
23,AT.P.0044,Aldo foundation,,Rack 7,,05/09/2013,Untitled,,,ca. 1961-62,Duco on paper,,,Painting,32,29,,,,"remote:AT.P.44.jpg
size:1224,1632
JPEG:AT.P.44_8.jpg",,,,,,,,,
24,AT.P.0047,Aldo foundation,,Rack 7,,05/16/2013,BS-3, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,26,,,,,"remote:IMG_3401.JPG
size:320,240
JPEG:IMG_3401_8.jpg",,,,,,,,,
25,AT.P.0048,Aldo foundation,,Rack 8,,05/16/2013,BS-5, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.48.jpg
size:1632,1224
JPEG:AT.P.48_8.jpg",,,,,,,,,
26,AT.P.0050,Aldo foundation,,Rack 8,,05/16/2013,BS-7, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.50.jpg
size:1632,1224
JPEG:AT.P.50_8.jpg",,,,,,,,,
27,AT.P.0051,Aldo foundation,,Rack 8,,05/16/2013,BS-8, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,,"remote:AT.P.51.jpg
size:1632,1224
JPEG:AT.P.51_8.jpg",,,,,,,,,
28,AT.P.0054,Aldo foundation,,Rack 8,,05/16/2013,A-1, Aleksey,,,Acrylic on canvas,,,Painting,,,,,,"remote:AT.P.54.jpg
size:1632,1224
JPEG:AT.P.54_8.jpg",,,,,,,,,
29,AT.P.0055,Aldo foundation,,Rack 8,,05/16/2013,A-2, Aleksey,,,Acrylic on canvas,,,Painting,30,30,,,,"remote:AT.P.55.jpg
size:1632,1224
JPEG:AT.P.55_8.jpg",,,,,,,,,
30,AT.P.0056,Aldo foundation,,Rack 8,,05/16/2013,Untitled,,,,"Collage, acrylic, and be-be shots on canvas","LR: ""Anna Aldo AD 2006""",,Painting,18,24,,,,"remote:AT.P.56.jpg
size:1632,1224
JPEG:AT.P.56_8.jpg",,,,,,,,,
31,AT.P.0057,Aldo foundation,,Rack 8,,05/16/2013,EB-3, Eveloped by Black,,,Duco on paper on wood with sand,"LR: ""Aldo Tambellini Nov '63""",Torn upper Right corner,Painting,26,26,,,,,,,,,,,,,
32,AT.P.0058,Aldo foundation,Pierre Menard Demonstration,Rack 8,,05/16/2013,A-3, Aleksey,,,Acrylic on canvas,,,Painting,30,30,,,,,,,,,,,,,
33,AT.P.0059,Aldo foundation,,Rack 8,,05/16/2013,Vortex Goldawsky,,,,Duco on paper,"LR: ""Aldo Tambellini Nov: 63""",No Frame,Painting,23,23,,,,"remote:AT.P.59.jpg
size:1632,1224
JPEG:AT.P.59_8.jpg",,,,,,,,,
34,AT.P.0060,Aldo foundation,,Rack 8,,05/16/2013,A-4, Aleksey,,,"Collage, acrylic, and be-be shots on canvas","LR: ""Aldo 2006 Anna AD""",,Painting,18,24,,,,"remote:AT.P.60.jpg
size:1632,1224
JPEG:AT.P.60_8.jpg",,,,,,,,,
35,AT.P.0061,Aldo foundation,,Rack 8,,05/16/2013,A-5, Aleksey,,,Collage and acrylic on canvas,"LR: ""AD, Anna, Aldo 2006""",,Painting,24,18,,,,"remote:AT.P.61.jpg
size:1224,1632
JPEG:AT.P.61_8.jpg",,,,,,,,,
36,AT.P.0062,Aldo foundation,,Rack 8,,05/16/2013,Solvy, NY,,,Acrylic on canvas board,"Recto: LR: ""Tambellini A. 1946"" Verso: LC: ""Aldo Tambellini 1946""",,Painting,16,14,,,,,,,,,,,,,
37,AT.P.0063,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-10,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
38,AT.P.0064,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-11,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
39,AT.P.0065,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-12,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
40,AT.P.0066,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-13,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
41,AT.P.0067,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-14,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
42,AT.P.0068,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-15,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
43,AT.P.0069,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-16,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
44,AT.P.0070,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-17,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
45,AT.P.0071,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-18,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2292""",,Painting,23,,,,,,,,,,,,,,
46,AT.P.0072,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-19,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2281""",,Painting,23,,,,,,,,,,,,,,
47,AT.P.0073,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-20,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2290""",,Painting,23,,,,,,,,,,,,,,
48,AT.P.0074,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-21,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2288""",,Painting,23,,,,,,,,,,,,,,
49,AT.P.0075,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-22,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
50,AT.P.0076,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-23,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,,,,,,,,,,,
51,AT.P.0077,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-24,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2130""",,Painting,23,,,,,,,,,,,,,,
52,AT.P.0078,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,EB-25,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2123""",,Painting,23,,,,,,,,,,,,,,
53,AT.P.0079,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,EB-26,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2126""",,Painting,23,,,,,,,,,,,,,,
54,AT.P.0080,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,EB-27,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2276""",,Painting,23,,,,,,,,,,,,,,
55,AT.P.0081,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,EB-28,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2277""",,Painting,23,,,,,,,,,,,,,,
56,AT.P.0088,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,10, Endless Series,,,Duco on paper,"Verso: UR: ""45"" / LL: ""AT""",,Painting,23,,,,,,,,,,,,,,
57,AT.P.0089,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,11, Endless Series,,,Duco on paper,"Verso: UL: ""44""",,Painting,23,,,,,,,,,,,,,,
58,AT.P.0090,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,12,Endless Series,,,Duco on paper,"Verso: UL: ""43"" / LR: ""AT""",,Painting,23,,,,,,,,,,,,,,
59,AT.P.0091,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,13, Endless Series,,,Duco on paper,"Verso: UL: ""42"" / LR: ""AT""",,Painting,23,,,,,,,,,,,,,,
60,AT.P.0092,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,14, Endless Series,,,Duco on paper,"Verso: UL: ""41"" / LR: ""Oct - 9""",,Painting,23,,,,,,,,,,,,,,
61,AT.P.0093,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,15, Endless Series,,,Duco on paper,"Verso: UL: ""40"" / LR: ""AT"" / LL: ""Oct 7 63""",,Painting,23,,,,,,,,,,,,,,
62,AT.P.0094,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,16, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""39""",,Painting,23,,,,,,,,,,,,,,
63,AT.P.0095,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,17, Endless Series,,,Duco on paper,"Verso: UR: ""38""",,Painting,23,,,,,,,,,,,,,,
64,AT.P.0096,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,18, Endless Series,,,Duco on paper,"Verso: UR: ""37"" / LR: ""Oct 9 '63""",,Painting,23,,,,,,,,,,,,,,
65,AT.P.0097,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,19, Endless Series,,,Duco on paper,"Verso: UR: ""36"" / LL: ""Oct 9/63""",,Painting,23,,,,,,,,,,,,,,
66,AT.P.0098,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,20, Endless Series,,,Duco on paper,"Verso: UR: ""35"" / LL: ""A.T.""",,Painting,23,,,,,,,,,,,,,,
67,AT.P.0099,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,21, Endless Series,,,Duco on paper,"Verso: LL: ""Oct 9/63"" UR: ""34""",,Painting,23,,,,,,,,,,,,,,
68,AT.P.0100,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,22, Endless Series,,,Duco on paper,"Verso: UR: ""33"" / LL: ""AT""",,Painting,23,,,,,,,,,,,,,,
69,AT.P.0101,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,23, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""32""",,Painting,23,,,,,,,,,,,,,,
70,AT.P.0102,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,24, Endless Series,,,Duco on paper,"Verso: UL: ""31""",,Painting,23,,,,,,,,,,,,,,
71,AT.P.0103,Aldo foundation,,"Box 2, circluar table",,05/16/2013,25, Endless Series,,,Duco on paper,"Verso: LR: ""Oct 7/63"" / UR: ""30""",,Painting,23,,,,,,,,,,,,,,
72,AT.P.0104,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,26, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""29""",,Painting,23,,,,,,,,,,,,,,
73,AT.P.0105,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,27, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""Oct 7/63"" / UR: ""28""",,Painting,23,,,,,,,,,,,,,,
74,AT.P.0106,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,28, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""27""",,Painting,23,,,,,,,,,,,,,,
75,AT.P.0107,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,29, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""26""",,Painting,23,,,,,,,,,,,,,,
76,AT.P.0108,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,30, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""25""",,Painting,23,,,,,,,,,,,,,,
77,AT.P.0109,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,31, Endless Series,,,Duco on paper,"Verso: UR: ""24""",,Painting,23,,,,,,,,,,,,,,
78,AT.P.0110,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,32, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""23""",,Painting,23,,,,,,,,,,,,,,
79,AT.P.0111,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,33, Endless Series,,,Duco on paper,"Verso: UR: ""22"" / LL: ""LL""",,Painting,23,,,,,,,,,,,,,,
80,AT.P.0112,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,34, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR:"" 21""",,Painting,23,,,,,,,,,,,,,,
81,AT.P.0113,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,35, Endless Series,,,Duco on paper,"Verso: UR: ""20"" / LL: ""AT""",Rip on right side,Painting,23,,,,,,,,,,,,,,
82,AT.P.0114,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,36, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""19""",,Painting,23,,,,,,,,,,,,,,
83,AT.P.0115,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,37, Endless Series,,,Duco on paper,"Verso: LL: ""Oct 9/63"" / UR: ""18""",,Painting,23,,,,,,,,,,,,,,
84,AT.P.0116,Aldo foundation,,"Box 2, circluar table",,05/16/2013,38, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""17""",,Painting,23,,,,,,,,,,,,,,
85,AT.P.0117,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,39, Endless Series,,,Duco on paper,"Verso: LL:"" AT"" / UR: ""16"" / LR: ""Oct 7/63""",,Painting,23,,,,,,,,,,,,,,
86,AT.P.0118,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,40, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""15"" /",,Painting,23,,,,,,,,,,,,,,
87,AT.P.0119,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,41, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""14""",,Painting,23,,,,,,,,,,,,,,
88,AT.P.0120,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,42, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""13""",,Painting,23,,,,,,,,,,,,,,
89,AT.P.0121,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,43, Endless Series,,,Duco on paper,"Verso: UR: ""12"" / LL: ""AT""",,Painting,23,,,,,,,,,,,,,,
90,AT.P.0122,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,44, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""Oct 7/63"" / UR: ""11""",,Painting,23,,,,,,,,,,,,,,
91,AT.P.0123,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,45, Endless Series,,,Duco on paper,"Verso: UR: ""10""",,Painting,23,,,,,,,,,,,,,,
92,AT.P.0126,Aldo foundation,,"Rack 9, Shelf 3",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,32,40,,,,"remote:AT.P.126.jpg
size:3264,2448
JPEG:AT.P.126_8.jpg",,,,,,,,,
93,AT.P.0127,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.127.jpg
size:3264,2448
JPEG:AT.P.127_8.jpg",,,,,,,,,
94,AT.P.0129,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.129.jpg
size:3264,2448
JPEG:AT.P.129_8.jpg",,,,,,,,,
95,AT.P.0130,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.130.jpg
size:3264,2448
JPEG:AT.P.130_8.jpg",,,,,,,,,
96,AT.P.0131,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.131.jpg
size:3264,2448
JPEG:AT.P.131_8.jpg",,,,,,,,,
97,AT.P.0133,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.133.jpg
size:3264,2448
JPEG:AT.P.133_8.jpg",,,,,,,,,
98,AT.P.0134,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,22,30,,,,"remote:AT.P.134.jpg
size:3264,2448
JPEG:AT.P.134_8.jpg",,,,,,,,,
99,AT.P.0135,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,Wax and graphite on paper,,,Painting,22,30,,,,,,,,,,,,,
100,AT.P.0136,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,Wax and graphite on paper,,,Painting,22,30,,,,"remote:AT.P.136.jpg
size:3264,2448
JPEG:AT.P.136_8.jpg",,,,,,,,,
101,AT.P.0138,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.138.jpg
size:3264,2448
JPEG:AT.P.138_8.jpg",,,,,,,,,
102,AT.P.0139,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.139.jpg
size:3264,2448
JPEG:AT.P.139_8.jpg",,,,,,,,,
103,AT.P.0140,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.140.jpg
size:3264,2448
JPEG:AT.P.140_8.jpg",,,,,,,,,
104,AT.P.0141,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,40,,,,"remote:AT.P.141.jpg
size:3264,2448
JPEG:AT.P.141_8.jpg",,,,,,,,,
105,AT.P.0142,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.142.jpg
size:3264,2448
JPEG:AT.P.142_8.jpg",,,,,,,,,
106,AT.P.0143,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.143.jpg
size:3264,2448
JPEG:AT.P.143_8.jpg",,,,,,,,,
107,AT.P.0144,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,,"remote:AT.P.144.jpg
size:3264,2448
JPEG:AT.P.144_8.jpg",,,,,,,,,
108,AT.P.0149,Aldo foundation,,"Rack 10, Shelf 4, Stack 1",,05/23/2013,,Destruction Series II,,ca. 1989,Wax and graphite on cardboard,,,Painting,15,20,,,,"remote:AT.P.149.jpg
size:3264,2448
JPEG:AT.P.149_8.jpg",,,,,,,,,
109,AT.P.0150,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,18,24,,,,"remote:AT.P.150.jpg
size:3264,2448
JPEG:AT.P.150_8.jpg",,,,,,,,,
110,AT.P.0151,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,24,29,,,,"remote:AT.P.151.jpg
size:3264,2448
JPEG:AT.P.151_8.jpg",,,,,,,,,
111,AT.P.0152,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Sketchpad Destruction,,1988,Wax and graphite on sketchpad paper,"Verso: LL: ""Dec 13 / 88""",,Painting,18,24,,,,"remote:AT.P.152.jpg
size:3264,2448
JPEG:AT.P.152_8.jpg",,,,,,,,,
112,AT.P.0153,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,24,29,,,,"remote:AT.P.153.jpg
size:3264,2448
JPEG:AT.P.153_8.jpg",,,,,,,,,
113,AT.P.0154,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,22,30,,,,"remote:AT.P.154.jpg
size:3264,2448
JPEG:AT.P.154_8.jpg",,,,,,,,,
114,AT.P.0155,Aldo foundation,,"Rack 10, Shelf 4, Stack 2",,05/23/2013,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,22,30,,,,"remote:AT.P.155.jpg
size:3264,2448
JPEG:AT.P.155_8.jpg",,,,,,,,,
115,AT.P.0162,Aldo foundation,,"Rack 10, Shelf 3, Stack 1",,05/23/2013,,Sketchpad Destruction,,ca. 1988,Wax and graphite on  sketchpad paper,"Verso: LL: ""Dec 14 / 88""",,Painting,18,24,,,,"remote:AT.P.162.jpg
size:3264,2448
JPEG:AT.P.162_8.jpg",,,,,,,,,
116,AT.P.0163,Aldo foundation,,"Rack 10, Shelf 3, Stack 1",,05/23/2013,,Sketchpad Destruction,,ca. 1988,Wax and graphite on  sketchpad paper,,,Painting,18,24,,,,"remote:AT.P.163.jpg
size:3264,2448
JPEG:AT.P.163_8.jpg",,,,,,,,,
117,AT.P.0164,Aldo foundation,,"Rack 10, Shelf 3, Stack 1",,05/23/2013,,Sketchpad Destruction,,ca. 1988,Wax and graphite on  sketchpad paper,"Verso: UR: ""Dec 13 / 88""",,Painting,18,24,,,,"remote:AT.P.164.jpg
size:3264,2448
JPEG:AT.P.164_8.jpg",,,,,,,,,
118,AT.P.0165,Aldo foundation,,"Rack 10, Shelf 3, Stack 1",,05/23/2013,,Sketchpad Destruction,,ca. 1988,Wax and graphite on  sketchpad paper,"Verso: LL ""Dec 14 / 88",,Painting,18,24,,,,"remote:AT.P.165.jpg
size:3264,2448
JPEG:AT.P.165_8.jpg",,,,,,,,,
